word,survey borrowing-ness factor,rank
doctor,10,1
cancer,10,2
title,10,3
performance,10,4
friend,10,5
week,10,6
school,10,7
superstar,10,8
officer,10,9
toilet,9,10
candidate,9,11
journalist,9,12
driver,9,13
singer,9,14
traffic,9,15
class,9,16
boy,9,17
script,9,18
request,9,19
writer,8,20
college,8,21
group,8,22
service,8,23
degree,8,24
room,8,25
luck,8,26
judge,7,27
dialogue,7,28
rest,7,29
angel,7,30
assembly,7,31
president,7,32
university,7,33
scene,6,34
jeweler,6,35
hall,6,36
shoot,5,37
road,5,38
moments,4,39
parliament,4,40
blue,4,41
question,4,42
lyrics,3,43
day,3,44
way,3,45
press,3,46
car,3,47
reason,3,48
seat,2,49
magic,2,50
uncle,2,51
vacation,1,52
defense,1,53
guy,1,54
body,0,55
politics,0,56
matter,-2,57
society,-3,58
thing,-3,59
wrong,-4,60
house,-5,61
town,-5,62
people,-6,63
play,-6,64
cool,-6,65
woman,-7,66
god,-8,67
farmer,-8,68
anthem,-8,69
money,-9,70
